Accession,FIA,FIB,FIC,AmoxiClav,Amoxicillin,Ceftazidime,Ciprofloxacin,Cefotaxime,Cefuroxime,Gentamicin,PipTaz
ERR434352,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434354,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434356,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434357,No_FIA,FIB,No_FIC,S,S,S,S,S,S,I,S
ERR434360,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434361,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434362,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434363,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434364,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434365,No_FIA,No_FIB,No_FIC,R,S,S,S,S,R,R,S
ERR434367,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434368,FIA,FIB,No_FIC,R,S,S,R,S,S,R,R
ERR434369,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434370,FIA,FIB,No_FIC,R,S,S,R,S,S,S,I
ERR434371,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434372,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434373,No_FIA,FIB,No_FIC,R,S,S,S,S,S,S,S
ERR434375,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434376,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434377,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434378,No_FIA,No_FIB,No_FIC,R,S,S,S,S,S,S,S
ERR434380,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434381,No_FIA,FIB,No_FIC,R,R,S,S,S,S,S,I
ERR434382,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434383,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434384,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434386,FIA,FIB,No_FIC,R,S,S,S,S,S,S,R
ERR434389,No_FIA,FIB,FIC,S,R,S,S,S,S,S,S
ERR434390,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434391,FIA,No_FIB,No_FIC,S,R,S,R,S,R,S,S
ERR434392,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434395,No_FIA,FIB,No_FIC,R,R,S,S,S,S,S,S
ERR434396,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434399,No_FIA,FIB,No_FIC,R,R,S,S,S,S,S,R
ERR434400,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434401,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434402,No_FIA,FIB,FIC,S,R,S,S,S,S,S,S
ERR434403,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434404,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434405,FIA,No_FIB,No_FIC,S,R,R,R,R,R,S,S
ERR434406,No_FIA,No_FIB,No_FIC,R,R,S,S,S,S,S,R
ERR434407,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434408,No_FIA,No_FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434410,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434412,No_FIA,FIB,FIC,S,R,S,S,S,S,S,S
ERR434413,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434417,FIA,No_FIB,No_FIC,R,R,I,R,R,R,S,R
ERR434418,FIA,No_FIB,No_FIC,R,R,I,R,R,R,S,I
ERR434419,FIA,No_FIB,No_FIC,R,R,S,R,S,S,R,R
ERR434420,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434421,FIA,No_FIB,No_FIC,R,R,I,R,R,R,S,I
ERR434425,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434426,FIA,FIB,No_FIC,R,R,S,S,S,S,S,S
ERR434427,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434428,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434430,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434431,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434432,No_FIA,No_FIB,No_FIC,R,R,S,S,S,R,S,S
ERR434433,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434434,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434435,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434436,FIA,FIB,FIC,S,R,S,S,S,S,S,S
ERR434439,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434440,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434441,No_FIA,No_FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434445,FIA,No_FIB,No_FIC,R,R,I,R,R,R,S,I
ERR434446,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434448,FIA,No_FIB,No_FIC,R,R,I,R,R,R,S,S
ERR434449,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434450,No_FIA,FIB,No_FIC,S,R,S,S,S,R,R,S
ERR434451,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434452,No_FIA,FIB,No_FIC,R,S,S,S,S,S,S,R
ERR434454,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434456,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434457,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434458,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434461,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434462,FIA,No_FIB,No_FIC,R,S,I,R,R,R,R,S
ERR434464,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434465,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434466,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434467,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434468,FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434470,No_FIA,No_FIB,No_FIC,S,S,S,S,S,R,S,S
ERR434471,FIA,FIB,FIC,R,S,S,R,S,S,S,R
ERR434472,FIA,FIB,No_FIC,S,S,I,R,R,R,S,S
ERR434473,FIA,No_FIB,No_FIC,R,S,I,R,R,R,S,S
ERR434474,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434475,No_FIA,FIB,FIC,R,R,S,S,S,S,S,S
ERR434476,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434478,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434479,No_FIA,FIB,No_FIC,R,R,S,S,S,R,S,S
ERR434480,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434482,No_FIA,FIB,FIC,S,R,S,S,S,S,S,S
ERR434483,No_FIA,No_FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434487,No_FIA,FIB,FIC,S,R,S,S,S,S,S,S
ERR434488,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434490,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,I
ERR434492,FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434493,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434494,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434497,FIA,FIB,FIC,R,R,S,R,S,S,S,S
ERR434498,No_FIA,FIB,FIC,S,R,S,S,S,S,S,S
ERR434499,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434500,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434501,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434502,FIA,No_FIB,No_FIC,S,R,S,R,S,S,S,S
ERR434503,FIA,No_FIB,No_FIC,R,R,S,R,S,S,S,S
ERR434504,FIA,No_FIB,No_FIC,R,R,I,R,R,R,S,S
ERR434505,FIA,FIB,No_FIC,S,R,S,R,S,S,R,S
ERR434506,FIA,No_FIB,No_FIC,S,R,S,R,R,R,S,S
ERR434507,FIA,FIB,No_FIC,S,R,S,R,S,S,R,S
ERR434508,FIA,No_FIB,No_FIC,R,R,R,R,R,R,R,I
ERR434509,FIA,FIB,No_FIC,R,R,S,S,S,S,I,S
ERR434510,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434511,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434512,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434516,FIA,No_FIB,No_FIC,R,R,R,R,R,R,S,R
ERR434517,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434518,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434519,No_FIA,FIB,No_FIC,R,R,S,S,S,S,S,R
ERR434520,FIA,No_FIB,No_FIC,R,R,S,R,S,S,S,R
ERR434521,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434522,No_FIA,FIB,No_FIC,R,R,S,S,S,R,S,S
ERR434523,FIA,No_FIB,No_FIC,S,R,S,R,S,S,S,S
ERR434524,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434526,No_FIA,No_FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434527,No_FIA,No_FIB,No_FIC,R,R,S,S,S,S,R,I
ERR434528,FIA,No_FIB,No_FIC,S,S,S,R,S,R,S,S
ERR434529,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434530,No_FIA,No_FIB,FIC,S,R,S,S,S,S,S,S
ERR434532,No_FIA,No_FIB,No_FIC,R,R,S,S,S,R,S,S
ERR434533,FIA,FIB,No_FIC,S,R,S,S,S,R,S,S
ERR434534,FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434536,No_FIA,FIB,FIC,S,R,S,S,S,S,S,S
ERR434538,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434539,FIA,No_FIB,No_FIC,R,R,I,R,R,R,S,S
ERR434540,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434543,No_FIA,FIB,FIC,R,R,S,S,S,S,S,S
ERR434545,FIA,No_FIB,No_FIC,S,R,S,R,S,S,S,S
ERR434546,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434547,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434550,No_FIA,No_FIB,No_FIC,S,S,S,R,S,S,S,S
ERR434551,No_FIA,No_FIB,No_FIC,R,S,S,S,S,S,S,S
ERR434554,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434556,No_FIA,FIB,FIC,S,S,S,S,S,R,S,S
ERR434565,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434566,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434567,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434569,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434572,No_FIA,No_FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434573,No_FIA,No_FIB,No_FIC,R,R,S,S,S,S,R,S
ERR434575,No_FIA,No_FIB,No_FIC,R,R,S,S,S,S,S,S
ERR434576,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434577,FIA,FIB,No_FIC,R,R,S,S,S,S,S,R
ERR434578,No_FIA,FIB,FIC,S,R,S,S,S,S,S,S
ERR434579,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434580,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434581,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434582,FIA,FIB,FIC,S,S,S,R,S,S,S,S
ERR434583,FIA,FIB,No_FIC,R,R,S,S,S,S,S,S
ERR434584,FIA,FIB,No_FIC,R,R,R,R,R,R,R,S
ERR434585,No_FIA,No_FIB,No_FIC,S,R,I,S,R,R,S,S
ERR434586,No_FIA,FIB,FIC,S,R,S,S,S,S,S,S
ERR434587,FIA,FIB,No_FIC,R,R,S,S,S,S,S,S
ERR434588,FIA,No_FIB,No_FIC,R,R,S,R,S,R,I,S
ERR434589,No_FIA,FIB,No_FIC,S,R,S,S,S,R,S,S
ERR434590,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434592,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434593,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434594,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434597,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434598,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434599,No_FIA,FIB,FIC,R,R,S,S,S,S,S,S
ERR434600,FIA,FIB,No_FIC,R,R,S,S,S,S,S,S
ERR434601,FIA,FIB,No_FIC,S,R,R,R,R,R,S,S
ERR434602,FIA,FIB,No_FIC,R,R,R,R,R,R,R,S
ERR434603,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434606,No_FIA,No_FIB,No_FIC,S,R,S,S,S,R,S,S
ERR434607,No_FIA,No_FIB,No_FIC,S,R,S,S,S,R,S,S
ERR434608,FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434610,No_FIA,FIB,FIC,R,R,S,I,S,S,S,S
ERR434612,FIA,FIB,No_FIC,R,R,S,S,S,S,S,S
ERR434613,No_FIA,No_FIB,No_FIC,S,S,S,S,S,R,S,S
ERR434616,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434617,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434619,No_FIA,No_FIB,No_FIC,S,S,S,S,S,R,S,S
ERR434620,FIA,No_FIB,No_FIC,R,R,S,R,S,R,S,R
ERR434621,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434622,No_FIA,No_FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434625,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434626,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434627,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434628,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434629,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434631,No_FIA,FIB,No_FIC,R,R,S,S,S,S,S,S
ERR434632,FIA,FIB,No_FIC,S,S,S,R,S,S,S,S
ERR434634,No_FIA,FIB,FIC,R,R,S,S,S,S,S,S
ERR434637,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434638,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434639,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434640,FIA,FIB,No_FIC,R,R,R,R,R,R,R,S
ERR434641,No_FIA,No_FIB,No_FIC,R,R,S,S,S,S,S,S
ERR434642,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434643,No_FIA,No_FIB,No_FIC,S,S,S,S,S,R,S,S
ERR434644,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434647,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434648,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434649,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434650,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434652,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434657,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434658,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434660,FIA,No_FIB,No_FIC,R,S,S,R,R,R,S,S
ERR434661,No_FIA,FIB,FIC,R,S,S,S,S,R,S,R
ERR434662,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434664,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434666,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434667,No_FIA,FIB,No_FIC,R,S,S,S,S,S,S,S
ERR434671,No_FIA,No_FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434673,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434674,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434676,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434678,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434679,FIA,FIB,FIC,S,R,S,S,S,S,S,S
ERR434680,No_FIA,FIB,No_FIC,R,R,S,S,S,S,S,S
ERR434681,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434682,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434683,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434685,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434686,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434687,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,R
ERR434690,No_FIA,FIB,No_FIC,R,R,R,S,R,R,R,S
ERR434691,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434692,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434693,No_FIA,FIB,FIC,S,R,S,S,S,S,S,S
ERR434695,No_FIA,No_FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434696,No_FIA,No_FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434697,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434699,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434700,No_FIA,FIB,No_FIC,R,R,S,S,S,S,R,S
ERR434701,No_FIA,No_FIB,No_FIC,S,R,I,S,R,R,S,S
ERR434702,No_FIA,FIB,No_FIC,R,R,S,S,S,S,S,S
ERR434703,FIA,No_FIB,No_FIC,R,R,R,R,R,R,S,R
ERR434704,No_FIA,FIB,FIC,S,S,S,S,S,R,I,S
ERR434706,No_FIA,FIB,FIC,S,S,S,S,S,R,I,S
ERR434707,FIA,No_FIB,No_FIC,R,R,I,R,R,R,S,I
ERR434708,FIA,No_FIB,No_FIC,R,R,I,R,R,R,S,I
ERR434711,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434716,FIA,No_FIB,No_FIC,R,R,R,R,R,R,R,I
ERR434717,No_FIA,FIB,No_FIC,R,R,S,S,S,S,S,S
ERR434719,FIA,No_FIB,No_FIC,S,S,S,R,S,R,R,S
ERR434721,No_FIA,FIB,FIC,S,R,S,S,S,S,S,S
ERR434722,FIA,No_FIB,No_FIC,R,R,I,R,R,R,S,S
ERR434723,FIA,FIB,No_FIC,R,R,R,R,R,R,S,S
ERR434724,No_FIA,No_FIB,No_FIC,R,R,S,S,S,S,S,S
ERR434725,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434726,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434727,FIA,FIB,No_FIC,S,R,S,R,S,S,R,S
ERR434731,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434732,No_FIA,No_FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434733,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434737,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434738,No_FIA,FIB,No_FIC,S,R,S,S,S,S,S,S
ERR434740,FIA,FIB,No_FIC,R,S,I,R,R,R,S,S
ERR434743,FIA,No_FIB,No_FIC,R,S,S,R,S,S,S,S
ERR434744,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434745,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434749,FIA,FIB,No_FIC,R,S,S,R,S,S,R,S
ERR434750,FIA,FIB,No_FIC,R,S,S,I,S,S,S,S
ERR434752,FIA,FIB,FIC,S,S,S,R,S,S,S,S
ERR434753,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434754,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434755,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434757,FIA,No_FIB,No_FIC,R,S,S,R,R,R,S,S
ERR434758,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434759,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434761,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434763,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434764,FIA,FIB,FIC,R,S,R,R,R,R,S,S
ERR434765,No_FIA,No_FIB,No_FIC,R,S,S,S,S,R,S,S
ERR434766,FIA,No_FIB,No_FIC,R,S,I,R,R,R,S,S
ERR434767,No_FIA,FIB,No_FIC,R,S,S,S,S,S,S,R
ERR434768,No_FIA,FIB,No_FIC,R,S,S,S,S,S,S,S
ERR434769,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434770,FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434771,No_FIA,No_FIB,No_FIC,R,S,S,S,S,S,S,S
ERR434772,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434773,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434774,No_FIA,No_FIB,No_FIC,R,S,S,S,S,S,S,R
ERR434775,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434779,FIA,FIB,No_FIC,S,S,S,R,S,S,S,S
ERR434780,FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434781,FIA,No_FIB,No_FIC,R,S,S,S,S,S,S,S
ERR434782,FIA,FIB,No_FIC,R,S,I,R,R,R,R,S
ERR434784,No_FIA,No_FIB,FIC,S,S,S,S,S,S,S,S
ERR434785,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434788,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434789,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434791,No_FIA,FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434792,No_FIA,FIB,FIC,S,S,S,S,S,S,S,S
ERR434793,No_FIA,No_FIB,No_FIC,S,S,S,S,S,S,S,S
ERR434795,No_FIA,FIB,No_FIC,R,S,S,S,S,S,S,S
